model,split,season,season_year,threshold_lmp,n,positives,negatives,auc
seasonal_naive_24h,test,summer,2024,78.76588000000014,2208,152,2056,0.9566352652058161
seasonal_naive_24h,test,summer,2025,78.76588000000014,2089,433,1656,0.9500200823375841
seasonal_naive_24h,test,winter,2024,78.76588000000014,2183,139,2044,0.966879725182672
seasonal_naive_24h,test,winter,2025,78.76588000000014,2903,345,2558,0.9195759821418454
seasonal_naive_24h,validation,summer,2023,78.76588000000014,2137,44,2093,0.9046822742474916
seasonal_naive_24h,validation,winter,2023,78.76588000000014,2159,32,2127,0.7961477433004231
seasonal_naive_24h,validation,winter,2024,78.76588000000014,744,10,734,0.9585831062670299
seasonal_naive_168h,test,summer,2024,78.76588000000014,2208,152,2056,0.7850834527954127
seasonal_naive_168h,test,summer,2025,78.76588000000014,2089,433,1656,0.8402715020472827
seasonal_naive_168h,test,winter,2024,78.76588000000014,2183,139,2044,0.7079537935209562
seasonal_naive_168h,test,winter,2025,78.76588000000014,2903,345,2558,0.6346970572571415
seasonal_naive_168h,validation,summer,2023,78.76588000000014,2137,44,2093,0.8645810711028101
seasonal_naive_168h,validation,winter,2023,78.76588000000014,2159,32,2127,0.4956364598025388
seasonal_naive_168h,validation,winter,2024,78.76588000000014,744,10,734,0.9664850136239782
dmdc,test,summer,2024,78.76588000000014,2208,152,2056,0.9080899293467131
dmdc,test,summer,2025,78.76588000000014,2089,433,1656,0.7906764958552286
dmdc,test,winter,2024,78.76588000000014,2183,139,2044,0.957622942741697
dmdc,test,winter,2025,78.76588000000014,2903,345,2558,0.854632808693386
dmdc,validation,summer,2023,78.76588000000014,2137,44,2093,0.876503930851757
dmdc,validation,winter,2023,78.76588000000014,2159,32,2127,0.752673953925717
dmdc,validation,winter,2024,78.76588000000014,744,10,734,0.6523160762942779
dmdc_residual_24h,test,summer,2024,78.76588000000014,2208,152,2056,0.9596783483514233
dmdc_residual_24h,test,summer,2025,78.76588000000014,2089,433,1656,0.9537004496212247
dmdc_residual_24h,test,winter,2024,78.76588000000014,2183,139,2044,0.970536682200228
dmdc_residual_24h,test,winter,2025,78.76588000000014,2903,345,2558,0.9184700456652048
dmdc_residual_24h,validation,summer,2023,78.76588000000014,2137,44,2093,0.9148568822481866
dmdc_residual_24h,validation,winter,2023,78.76588000000014,2159,32,2127,0.8385783968030089
dmdc_residual_24h,validation,winter,2024,78.76588000000014,744,10,734,0.9731607629427793
