model,n,mae,mse,rmse,r2,bias,split
seasonal_naive_24h,8760,3.080047955650685,28.390539566199287,5.328277354473891,0.5847979267855397,-0.014764851997716908,cv_2020
seasonal_naive_24h,8736,7.142256904733286,222.52324265552815,14.917212965414423,0.5837471829570967,-0.03468559128891943,cv_2021
seasonal_naive_24h,8736,17.815872991557924,1091.4666221643822,33.037351924214235,0.5980916770706837,-0.05520228920558592,cv_2022
seasonal_naive_168h,8760,4.205571374257991,49.30006940234196,7.021400814819074,0.27900309968608794,-0.1339938594178082,cv_2020
seasonal_naive_168h,8736,11.847379687099359,492.9972903499085,22.203542292839412,0.07779740914372535,-0.07060340046932237,cv_2021
seasonal_naive_168h,8736,27.81254995804716,2385.139795649355,48.83789303040576,0.12172528618375655,-3.2351167174336077,cv_2022
dmdc,8760,7.006235323649097,90.81588784411267,9.52973702911642,-0.3281517537123517,4.811808104591741,cv_2020
dmdc,8736,12.158038360319388,422.98474603441406,20.566592961266434,0.20876313861936358,-9.308376875430023,cv_2021
dmdc,8736,35.59667598801286,3235.2396127877173,56.87916677297336,-0.19130507579935196,-33.3145795814386,cv_2022
dmdc_residual_24h,8760,3.223238119577411,28.368797736524197,5.326236733053103,0.585115893717289,-0.053245917093859174,cv_2020
dmdc_residual_24h,8736,6.822035852206165,207.89478227318335,14.4185568720723,0.6111112361251412,-0.07634721715903954,cv_2021
dmdc_residual_24h,8736,16.48794504568113,949.3153803998233,30.810962016785897,0.6504357121696418,-0.06165184742108596,cv_2022
