model,split,context,threshold_lmp,n,positives,negatives,auc
seasonal_naive_24h,cv_2020,all,78.76588000000014,8760,10,8750,0.9515542857142858
seasonal_naive_168h,cv_2020,all,78.76588000000014,8760,10,8750,0.8720457142857143
dmdc,cv_2020,all,78.76588000000014,8760,10,8750,0.8283885714285715
dmdc_residual_24h,cv_2020,all,78.76588000000014,8760,10,8750,0.9609028571428572
seasonal_naive_24h,cv_2021,all,78.76588000000014,8736,582,8154,0.9492661455975899
seasonal_naive_168h,cv_2021,all,78.76588000000014,8736,582,8154,0.841348078694748
dmdc,cv_2021,all,78.76588000000014,8736,582,8154,0.8460635768332453
dmdc_residual_24h,cv_2021,all,78.76588000000014,8736,582,8154,0.9535079445755125
seasonal_naive_24h,cv_2022,all,78.76588000000014,8736,3313,5423,0.9086747433361577
seasonal_naive_168h,cv_2022,all,78.76588000000014,8736,3313,5423,0.8506844359851965
dmdc,cv_2022,all,78.76588000000014,8736,3313,5423,0.6675818008939911
dmdc_residual_24h,cv_2022,all,78.76588000000014,8736,3313,5423,0.9265614662125672
